点赞数,转发数,热度指数,文章评级,浏览量
2646,1347,7,5,260004
816,816,4,6,100004
1224,612,6,5,164502
1261,1261,6,6,163001
1720,1720,7,5,260401
1541,1541,7,5,220002
827,NaN,5,7,107503
866,686,5,9,110504
1314,1300,8,5,229461
1431,1099,6,5,165004
2291,1214,6,6,133901
2157,924,7,6,226005
864,864,4,5,116054
2620,1361,5,5,190001
1080,1080,7,5,141003
1507,1075,5,5,127005
1375,1367,6,5,140003
980,980,5,5,135503
1044,540,5,5,55996
1980,1980,9,5,315003
1932,1932,8,5,394619
1314,1314,7,5,230004
1092,1092,5,5,139001
2119,689,6,6,158001
1224,1086,5,5,153342
1425,1425,6,5,180502
1392,1392,6,5,166005
1572,806,6,5,168001
1324,672,4,6,128001
1232,1232,7,5,194502
1872,1299,8,5,261505
1641,728,7,7,178003
1802,793,7,6,200103
1232,1232,6,6,162503
987,483,6,3,89503
1394,1394,6,5,159001
988,988,5,5,113001
1716,780,5,6,135903
1258,1258,7,5,172504
1700,1398,5,5,165505
1188,1188,5,7,157901
1616,1595,8,5,236501
1953,1580,6,5,240004
2775,1237,10,9,325003
1008,1008,5,6,137003
1136,1136,6,6,140005
1788,1104,4,5,161503
968,600,3,6,37905
1387,811,5,4,93003
1494,1494,7,5,279505
1212,1212,6,5,186004
1973,1935,8,5,395003
1553,756,7,5,186504
1319,608,5,6,123005
2329,1475,7,5,262283
1184,658,5,3,81005
1393,816,5,7,135503
1294,NaN,4,7,106251
1252,1032,6,5,119001
1601,533,5,6,140002
1600,1484,5,6,207501
1302,1302,6,7,158002
1327,1063,5,6,150752
987,483,6,8,118004
1886,930,7,5,199902
1103,1103,6,6,110502
858,858,5,7,116504
1493,1478,6,5,208902
1034,735,5,6,109002
788,788,4,5,100001
886,190,5,8,91301
2267,1010,6,5,200005
3608,1107,10,9,475001
2601,612,5,6,189002
918,918,6,5,99504
1118,793,5,7,119901
1242,1242,7,6,175505
1509,783,6,5,183205
1375,780,6,6,141004
