用户码,性别,玫瑰套餐,紫罗兰套餐,郁金香套餐,百合套餐,康乃馨套餐,胡姬花套餐,生日套餐,情人节套餐,会员卡类型,入会月数,会费支付方式,平均月消费,总消费,已停付会费
1,女,是,是,否,是,否,是,是,否,年卡,9,手工转账,65.6,593.3,否
2,男,否,否,否,否,否,否,否,是,月卡,9,手工转账,59.9,542.4,否
3,男,否,否,否,否,是,否,否,否,月卡,4,就餐时付费,73.9,280.85,是
4,男,是,否,否,是,是,否,是,是,月卡,13,就餐时付费,98,1237.85,是
5,女,否,是,否,否,否,是,是,是,月卡,9,花呗付款,69.4,571.45,否
6,女,是,否,是,是,是,是,是,是,双年卡,71,微信自动扣款,109.7,7904.25,否
7,女,是,否,否,否,否,是,是,否,月卡,3,手工转账,83.9,267.4,是
8,男,是,否,是,否,否,是,否,否,双年卡,63,花呗付款,84.65,5377.8,否
9,女,否,否,是,否,否,否,否,否,月卡,7,就餐时付费,48.2,340.35,否
10,女,是,是,是,是,是,是,是,是,双年卡,65,手工转账,90.45,5957.9,否
11,男,否,否,是,否,否,是,是,否,双年卡,54,花呗付款,45.2,2460.55,否
12,女,是,是,是,是,是,是,是,是,双年卡,72,花呗付款,116.8,8456.75,否
13,女,是,否,否,否,否,否,否,否,月卡,5,就餐时付费,68.95,351.5,否
14,女,否,否,是,是,是,否,是,否,双年卡,72,微信自动扣款,101.3,7261.25,否
15,女,否,否,是,是,是,是,否,否,双年卡,56,微信自动扣款,45.05,2560.1,否
16,女,是,是,否,是,是,否,否,是,双年卡,71,花呗付款,95.75,6849.4,否
17,女,是,是,是,否,是,是,是,是,年卡,34,手工转账,61.25,1993.2,否
18,女,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,72.1,72.1,否
19,男,否,否,是,否,是,否,否,是,年卡,45,花呗付款,62.7,2791.5,是
20,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,50,就餐时付费,25.2,1306.3,否
21,男,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,25.1,25.1,是
22,女,是,否,否,是,是,否,是,否,月卡,13,就餐时付费,94.1,1215.6,是
23,女,是,是,否,否,否,否,是,否,月卡,23,就餐时付费,83.75,1849.95,否
24,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,3,手工转账,19.85,57.2,否
25,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,4,手工转账,20.35,76.35,是
26,女,是,是,是,否,否,否,否,否,月卡,1,微信自动扣款,30.5,30.5,是
27,女,是,是,否,是,是,是,是,是,年卡,55,微信自动扣款,103.7,5656.75,否
28,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,54,花呗付款,20.4,1090.6,否
29,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,69,微信自动扣款,19.7,1396.9,否
30,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,26,微信自动扣款,19.6,471.85,否
31,男,是,是,否,否,否,否,是,是,年卡,37,花呗付款,91.2,3247.55,否
32,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,49,微信自动扣款,20.45,900.9,否
33,男,是,否,是,是,是,是,是,是,年卡,66,微信自动扣款,115.8,7942.15,否
34,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,67,就餐时付费,20.55,1343.4,否
35,男,是,是,是,否,是,是,否,否,双年卡,20,花呗付款,39.4,825.4,否
36,女,否,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,43,就餐时付费,25.1,1070.15,否
37,女,是,否,是,否,否,否,是,否,月卡,55,微信自动扣款,89.8,4959.6,否
38,女,是,否,是,是,否,否,是,否,月卡,59,就餐时付费,94.75,5597.65,否
39,男,是,是,否,否,否,否,否,否,月卡,27,微信自动扣款,75.75,1929,否
40,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,12,微信自动扣款,20.3,224.5,否
41,男,否,否,是,否,否,否,否,否,月卡,2,就餐时付费,49.25,91.1,是
42,女,否,否,否,是,是,是,是,是,年卡,27,手工转账,78.2,2078.95,否
43,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,25,花呗付款,25.5,630.6,否
44,男,是,是,是,是,是,否,否,否,年卡,25,微信自动扣款,61.6,1611,否
45,男,否,是,是,是,是,是,否,否,月卡,29,手工转账,45,1242.45,否
46,男,是,否,否,是,是,是,是,是,双年卡,72,微信自动扣款,85.15,6316.2,否
47,女,否,否,否,否,是,是,是,是,年卡,35,就餐时付费,99.25,3532,否
48,女,否,否,否,是,否,否,否,否,年卡,14,花呗付款,51.45,727.85,否
49,男,否,否,否,否,否,是,是,是,月卡,29,就餐时付费,94.2,2607.6,否
50,男,否,否,否,否,否,否,否,否,月卡,1,手工转账,44.3,44.3,否
51,男,否,否,是,是,是,是,是,否,年卡,64,就餐时付费,81.25,5567.55,否
52,女,是,是,否,否,否,是,是,是,月卡,39,花呗付款,99.95,3767.4,否
53,女,否,否,否,否,否,否,是,是,月卡,40,就餐时付费,91.55,3673.6,否
54,男,否,否,否,是,是,否,是,是,月卡,40,花呗付款,104.5,4036.85,是
55,女,否,否,否,是,否,否,是,是,月卡,11,就餐时付费,95,1120.3,是
56,男,否,否,是,否,否,否,否,是,月卡,30,手工转账,64.5,1888.45,否
57,女,是,否,否,否,否,否,否,否,月卡,6,就餐时付费,50.35,314.55,否
58,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,27,就餐时付费,19.4,529.8,否
59,男,是,否,否,是,是,否,是,是,年卡,70,就餐时付费,104.8,7308.95,否
60,女,是,否,否,是,是,是,是,是,年卡,57,微信自动扣款,109.4,6252.7,否
61,男,是,否,否,否,是,否,否,否,年卡,58,花呗付款,50.3,2878.55,否
62,男,否,否,否,是,是,否,否,是,月卡,16,微信自动扣款,71.4,1212.1,否
63,女,是,否,是,是,是,是,是,是,双年卡,69,就餐时付费,116,8182.85,否
64,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,就餐时付费,19.85,19.85,是
65,男,否,是,否,否,是,否,是,是,月卡,1,就餐时付费,99.75,99.75,是
66,男,是,是,否,是,否,否,是,是,月卡,32,手工转账,93.95,2861.45,否
67,男,是,否,是,否,是,是,是,是,年卡,49,就餐时付费,84.35,4059.35,是
68,男,是,是,否,否,是,否,是,否,月卡,16,微信自动扣款,90.8,1442.2,否
69,女,是,否,否,是,是,是,是,是,双年卡,71,微信自动扣款,58.25,4145.9,否
70,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,10,微信自动扣款,19.95,187.75,否
71,女,否,否,否,是,是,否,是,是,月卡,33,就餐时付费,107.55,3645.5,否
