用户码,曾助力,曾拼团,曾推荐,设备,城市类型,R值,M值,裂变类型,是否转化
1,0,1,0,电脑,中小,10,138,情侣花享,0
2,0,1,0,电脑,一线,4,105.59,拼团盛放,0
3,0,1,0,电脑,一线,1,494.13,拼团盛放,1
4,0,1,1,手机,二线,10,148.45,没有促销,0
5,1,0,0,手机,二线,2,337.18,拼团盛放,0
6,0,1,1,电脑,二线,10,56.48,情侣花享,0
7,1,1,1,其它,一线,2,551.98,情侣花享,0
8,1,0,1,手机,二线,7,29.99,拼团盛放,0
9,1,0,1,电脑,二线,7,29.99,情侣花享,1
10,1,0,0,手机,二线,7,78.38,拼团盛放,0
11,1,1,0,手机,一线,3,279.48,拼团盛放,0
12,0,1,1,手机,一线,5,139.53,没有促销,0
13,0,1,1,其它,二线,1,548.13,没有促销,0
14,1,1,1,手机,中小,1,610.22,情侣花享,0
15,0,1,0,电脑,一线,10,29.99,拼团盛放,1
16,1,0,1,其它,一线,2,226.08,拼团盛放,0
17,0,1,0,其它,二线,8,205.77,拼团盛放,0
18,1,0,1,手机,中小,8,29.99,没有促销,0
19,0,1,0,手机,一线,10,366.22,拼团盛放,1
20,0,1,0,手机,一线,5,29.99,情侣花享,0
21,1,0,1,电脑,二线,6,29.99,拼团盛放,0
22,0,1,1,手机,一线,3,161.5,拼团盛放,0
23,1,0,0,手机,二线,3,167.44,拼团盛放,0
24,0,1,0,电脑,二线,10,77.27,拼团盛放,1
25,1,0,0,电脑,一线,4,238.61,情侣花享,0
26,1,1,1,其它,二线,8,264.14,拼团盛放,0
27,1,0,1,手机,一线,7,86.26,拼团盛放,0
28,0,1,0,手机,一线,4,80.15,情侣花享,0
29,0,1,1,手机,二线,7,68.29,拼团盛放,0
30,1,0,0,手机,一线,4,125.54,拼团盛放,0
31,1,0,0,手机,一线,1,56.91,没有促销,0
32,0,1,0,电脑,中小,4,165.2,拼团盛放,0
33,1,1,1,电脑,一线,3,1232.96,拼团盛放,0
34,1,0,0,电脑,二线,4,53.89,拼团盛放,0
35,1,0,1,手机,二线,12,82.57,拼团盛放,0
36,1,0,0,手机,一线,1,29.99,没有促销,0
37,1,1,1,手机,二线,5,296.86,没有促销,0
38,0,1,0,电脑,一线,8,161.67,情侣花享,0
39,0,1,0,电脑,一线,4,194.6,情侣花享,0
40,0,1,0,电脑,一线,2,84.89,拼团盛放,0
41,1,0,0,电脑,中小,9,29.99,没有促销,0
42,1,0,1,其它,中小,2,502.75,情侣花享,0
43,0,1,1,电脑,二线,12,231.11,没有促销,0
44,1,0,0,电脑,一线,3,184.71,拼团盛放,0
45,1,1,1,其它,一线,10,425.46,拼团盛放,1
46,1,0,1,手机,二线,10,181.44,没有促销,0
47,0,1,0,电脑,二线,2,354.23,拼团盛放,0
48,1,0,0,手机,二线,7,29.99,情侣花享,0
49,1,1,1,电脑,一线,9,607.26,拼团盛放,0
50,0,1,1,手机,二线,10,139.3,情侣花享,0
51,1,0,1,电脑,二线,9,29.99,情侣花享,0
52,1,0,1,电脑,一线,9,73.32,情侣花享,0
53,0,1,0,手机,一线,9,210.7,情侣花享,0
54,0,1,0,其它,二线,2,433.32,拼团盛放,0
55,1,1,1,电脑,二线,3,369.77,拼团盛放,0
56,0,1,0,手机,二线,1,253.77,情侣花享,0
57,0,1,1,手机,二线,1,78.13,情侣花享,0
58,0,1,1,电脑,二线,4,88.96,情侣花享,0
59,0,1,0,其它,二线,2,441.14,拼团盛放,0
60,0,1,1,其它,二线,5,808.92,没有促销,0
61,0,1,0,电脑,一线,10,37.99,没有促销,0
62,1,0,0,电脑,二线,8,121.35,没有促销,0
63,1,0,1,手机,二线,5,31.28,情侣花享,1
64,0,1,1,电脑,中小,7,77.54,拼团盛放,0
65,0,1,0,手机,二线,9,111.34,拼团盛放,0
66,1,1,1,手机,二线,2,569.13,没有促销,0
67,1,0,0,电脑,一线,10,90.32,拼团盛放,0
68,0,1,0,手机,一线,4,52.2,没有促销,0
69,0,1,1,手机,一线,10,29.99,拼团盛放,0
70,1,1,1,电脑,一线,10,927.23,情侣花享,0
71,1,0,0,手机,一线,9,29.99,没有促销,0
72,0,1,1,手机,二线,11,29.99,情侣花享,0
73,1,0,1,其它,二线,5,357.25,情侣花享,0
74,0,1,0,手机,一线,9,142.06,情侣花享,0
75,1,0,0,电脑,中小,10,49.12,拼团盛放,0
76,1,0,1,电脑,一线,3,193.31,没有促销,1
77,0,1,1,电脑,二线,2,150.01,拼团盛放,0
78,1,0,1,手机,中小,11,42.04,拼团盛放,0
79,1,1,0,其它,中小,1,472.74,没有促销,0
80,1,0,0,其它,二线,2,209.5,没有促销,0
81,1,1,1,手机,二线,2,1390.72,情侣花享,1
82,1,1,1,手机,一线,1,693.07,情侣花享,0
83,0,1,1,电脑,一线,7,136.68,情侣花享,0
84,1,0,0,电脑,二线,2,114.48,拼团盛放,0
85,1,0,1,其它,一线,8,568.31,没有促销,0
86,0,1,1,手机,二线,10,67.72,没有促销,0
