用户码,性别,年龄,城市,入会月数,会员类型,活跃用户,会员积分,总消费,年收入,裂变方案,是否转化
1,女,40,杭州,9,2,1,516,6360.66,0,疯狂打折,0
2,男,69,杭州,6,2,1,682,28605,0,疯狂打折,0
3,女,32,杭州,9,1,1,803,10378.09,236311.0932,买一送一,1
4,女,37,苏州,0,2,1,778,25564.01,129909.8079,买一送一,1
5,男,55,苏州,4,3,0,547,3235.61,136976.1948,买一送一,1
6,男,36,杭州,5,2,0,541,23861.53,0,买一送一,0
7,女,42,苏州,1,1,0,651,8552.92,143475.5148,买一送一,1
8,女,39,扬州,4,2,0,577,17469.67,0,买一送一,0
9,女,37,扬州,6,1,0,626,1070.35,133171.3251,买一送一,0
10,女,38,杭州,8,2,1,592,3703.77,146711.9523,疯狂打折,0
11,女,46,杭州,6,2,0,643,20417.13,0,疯狂打折,0
12,男,29,杭州,3,1,1,699,28991.14,154597.8267,买一送一,0
13,女,74,苏州,1,2,1,461,37622.91,229327.7313,买一送一,0
14,男,39,杭州,9,2,0,740,3641.91,0,买一送一,0
15,男,37,苏州,3,2,1,634,31937.37,137062.3071,买一送一,0
16,女,39,杭州,9,1,1,556,18144.95,110193.6705,买一送一,0
17,女,38,杭州,6,1,1,667,14142.09,177651.4092,买一送一,1
18,女,38,杭州,2,1,1,591,22875.49,175015.8144,疯狂打折,0
19,男,38,苏州,2,2,1,432,13739.25,166738.554,买一送一,0
20,女,44,苏州,5,1,1,850,32714.37,158184.5436,疯狂打折,0
21,女,30,苏州,10,2,1,492,28049.75,94917.7101,疯狂打折,0
22,女,62,苏州,8,1,0,612,36986.21,173116.7559,买一送一,1
23,男,31,扬州,8,2,1,729,1829.32,202791.0963,买一送一,0
24,男,46,杭州,5,2,0,722,34399.37,0,买一送一,0
25,女,39,苏州,4,2,0,686,31132.04,194009.868,买一送一,0
26,男,23,杭州,2,2,0,757,17971.63,99228.9708,买一送一,0
27,男,38,杭州,2,1,0,535,37456.32,146704.9167,疯狂打折,1
28,男,35,苏州,1,1,1,671,34227.97,178163.9502,买一送一,0
29,男,37,杭州,7,1,0,709,30494.6,0,买一送一,0
30,男,33,杭州,6,2,0,628,35225.66,0,疯狂打折,0
31,女,42,杭州,7,3,0,736,8015.49,144254.6829,疯狂打折,1
32,男,32,扬州,3,1,0,790,17408.12,0,买一送一,0
33,女,28,杭州,9,2,1,850,31522.88,0,买一送一,0
34,女,37,苏州,7,2,1,641,7460.12,77458.8072,疯狂打折,0
35,男,32,杭州,9,2,1,628,3136.15,183437.6613,买一送一,0
36,女,39,杭州,7,2,0,585,459.13,0,买一送一,0
37,女,37,杭州,1,2,1,645,13190.73,0,买一送一,0
38,男,42,杭州,7,1,1,654,12926.94,122093.6007,买一送一,0
39,男,24,苏州,1,1,0,580,3286.03,164588.4894,买一送一,1
40,女,36,杭州,2,1,1,655,16790.98,180993.9957,买一送一,0
41,女,28,苏州,8,1,1,630,3890.02,130903.6725,买一送一,0
42,男,31,杭州,7,1,0,558,37909.95,0,买一送一,0
43,男,71,杭州,3,1,1,632,5276.81,102233.5164,买一送一,0
44,男,67,苏州,7,1,1,636,12763.49,168152.5005,疯狂打折,1
45,男,26,杭州,3,1,1,466,26286.05,192883.3233,买一送一,0
46,男,41,杭州,3,2,1,711,37045.42,0,买一送一,0
47,女,42,杭州,5,2,0,468,23958.95,0,买一送一,0
48,男,36,杭州,1,2,1,803,28560.4,0,买一送一,0
49,男,31,杭州,1,2,0,850,20369.81,118571.1513,买一送一,0
