点赞数,转发数,浏览量
2646,1347,260004
816,816,100004
1224,612,164502
1261,1261,163001
1720,1720,260401
1541,1541,220002
827,NaN,107503
866,686,110504
1314,1300,229461
1431,1099,165004
2291,1214,133901
2157,924,226005
864,864,116054
2620,1361,190001
1080,1080,141003
1507,1075,127005
1375,1367,140003
980,980,135503
1044,540,55996
1980,1980,315003
1932,1932,394619
1314,1314,230004
1092,1092,139001
2119,689,158001
1224,1086,153342
1425,1425,180502
1392,1392,166005
1572,806,168001
1324,672,128001
1232,1232,194502
1872,1299,261505
1641,728,178003
1802,793,200103
1232,1232,162503
987,483,89503
1394,1394,159001
988,988,113001
1716,780,135903
1258,1258,172504
1700,1398,165505
1188,1188,157901
1616,1595,236501
1953,1580,240004
2775,1237,325003
1008,1008,137003
1136,1136,140005
1788,1104,161503
968,600,37905
1387,811,93003
1494,1494,279505
1212,1212,186004
1973,1935,395003
1553,756,186504
1319,608,123005
2329,1475,262283
1184,658,81005
1393,816,135503
1294,NaN,106251
1252,1032,119001
1601,533,140002
1600,1484,207501
1302,1302,158002
1327,1063,150752
987,483,118004
1886,930,199902
1103,1103,110502
858,858,116504
1493,1478,208902
1034,735,109002
788,788,100001
886,190,91301
2267,1010,200005
3608,1107,475001
2601,612,189002
918,918,99504
1118,793,119901
1242,1242,175505
1509,783,183205
1375,780,141004
1216,832,118502
1670,1670,240004
1040,NaN,93503
1297,1297,153002
1250,625,171905
1989,1065,255005
1604,1604,220003
1701,1390,171005
864,864,58503
1214,672,105004
2450,1284,340001
1344,1344,206301
1682,1304,174003
1337,1337,185004
2482,1094,281215
1559,1559,153505
1088,1074,170004
1526,1216,144505
835,458,83003
2468,1136,354004
1929,1057,226001
1961,804,215001
1710,856,208504
910,105,116003
1518,1518,274004
1144,1144,124004
1512,756,168502
1134,756,126005
2447,804,169005
952,952,121005
1122,924,147001
1836,1860,216840
1656,660,135002
1118,1096,171003
2196,2158,271903
1131,676,66504
1405,1405,171751
2452,1028,267005
2127,1104,238001
1092,1092,141004
1694,1694,245354
1365,765,125001
1352,1062,130003
2046,998,284001
1402,1258,194202
1077,1007,91002
864,864,120502
930,NaN,84902
816,816,110004
1595,940,140004
1800,1800,141002
1040,1040,133002
1717,1156,187502
970,970,132501
1100,1100,141003
1431,1431,192003
2108,1127,235001
2344,1264,265001
2263,1055,287002
708,420,82504
1940,1930,395195
773,773,110001
2728,1848,437159
1560,1560,201001
1795,1050,131504
1002,1002,148503
923,876,119501
1256,1256,147505
789,768,96505
1128,936,118002
1855,528,187002
1768,884,224904
1196,684,110004
1742,1742,275001
1484,742,174003
1098,1098,135005
1746,1746,377504
1144,1144,143004
1720,840,183503
1215,1215,155005
1230,440,110001
2020,1128,239501
1486,1486,167005
848,848,155902
1484,783,178903
1362,611,128003
2462,1392,320005
1054,1054,151001
1041,1041,124503
1226,1226,198901
1048,993,113004
1987,1986,301503
1911,777,215001
1501,744,179405
858,858,110001
1646,1638,293082
2201,697,274973
1768,866,226701
1533,1533,280005
816,816,120504
996,996,108002
1194,1194,148004
1674,1163,185003
938,938,130251
1374,840,105003
1742,916,168004
1954,798,311501
1786,824,204753
1445,1127,158005
1698,1698,320001
1198,901,79902
1422,978,139905
1468,1468,244604
2262,1482,305004
1230,747,121602
1792,936,186501
2828,1466,424874
972,972,132002
1668,1626,285005
1236,912,149702
1728,1728,150905
1904,1208,138005
1095,588,140004
1456,810,91501
1097,1097,145003
768,768,129504
845,NaN,84001
1368,684,114506
2167,1192,294002
900,864,123001
932,932,124004
1426,912,189953
796,796,55002
2259,1809,217004
1852,1004,230003
616,616,89003
1218,672,113005
2452,1117,309002
2020,NaN,144002
3222,1673,320002
605,528,86001
1092,546,75002
894,894,138505
1347,1117,107501
2084,956,233005
1694,1694,318001
2345,952,239002
1422,1422,175505
1214,1214,143002
1382,720,128501
1902,NaN,112003
1416,696,155003
1839,1195,221005
1358,1358,207001
1363,1008,164904
1050,1050,128904
1092,546,83502
1459,1459,192003
864,864,129904
2633,2633,466501
1040,NaN,109502
630,630,81005
1395,723,162005
630,630,75505
1824,912,139001
1840,944,230003
2263,795,235002
1539,927,141504
864,864,97003
1060,1060,154003
1411,1386,82504
913,814,129001
2090,1220,240001
1040,NaN,92901
1490,788,184003
1530,1530,259004
1560,684,174001
2021,868,274728
882,882,103203
980,945,127502
1734,1734,318004
2358,684,122002
882,882,112505
1453,1453,190001
894,894,125003
1555,1373,174001
1709,970,137505
894,894,81004
1466,796,170005
2076,2076,465005
1756,872,204005
990,990,123602
1128,1120,155005
1764,928,231502
1588,1588,227004
1694,1686,307003
1432,716,188505
1487,735,113001
1004,1004,149001
1268,1268,132002
1382,1362,176002
1481,702,174005
1154,796,125502
861,861,82505
1144,1144,129005
1768,866,212002
774,544,79003
1344,1024,144003
816,816,118503
1218,672,91502
2138,849,106003
1287,1063,162003
2643,2153,380003
925,925,117501
1056,1056,142004
1135,560,155002
1028,1008,115002
848,848,140002
1158,862,120001
630,630,84502
2098,1030,275504
907,907,109012
2555,588,191002
1768,1768,136504
2090,1107,200005
2144,1444,277001
1228,1228,149351
1039,1039,131504
1190,1106,132505
1796,780,140004
1552,713,179905
1218,735,131001
1663,1364,256002
1578,1573,287093
2054,992,244004
2126,1013,185003
864,864,141001
1322,855,147004
2526,714,136002
2448,1629,402004
1968,784,172004
767,723,133005
1550,1092,241005
1660,715,188701
1935,793,197904
1576,1324,223503
2093,791,215002
1574,1574,232003
2403,1032,244404
1416,876,153903
996,936,147004
1200,1200,179002
948,864,111005
1163,1162,126180
882,NaN,106503
988,462,91003
1610,1610,205001
1360,1220,187501
985,985,149904
1120,1040,129005
1713,1713,274901
2374,1181,285001
1068,1059,154503
1664,832,162904
2172,1063,280004
1131,907,89474
1484,1476,265903
2022,1160,192003
1452,691,183905
1724,880,188001
1484,1484,175002
1948,847,195005
1248,912,87003
1714,980,196501
2872,1683,285004
1221,1221,185001
1600,916,169003
1719,1719,324002
1008,1008,134502
1573,1078,162903
1155,1109,148002
1484,1473,213003
1208,1187,206002
1294,1278,179202
958,1078,128003
2158,1202,243001
2019,728,167503
1337,1405,181001
764,680,73003
1456,855,146003
1111,530,101004
1324,1324,254005
1629,3206,284004
1472,702,125004
864,864,129004
1554,1554,209503
2296,1722,451951
1505,1505,149503
1958,1026,250004
1795,1795,147004
1484,742,128001
1178,859,102777
2715,1142,299803
1372,1372,250584
1309,1040,181001
2727,853,315002
2080,1276,234002
2058,735,129501
1073,1073,156004
630,630,92005
1032,1032,148002
1268,1268,143501
1800,982,179003
2519,1210,335005
1392,1392,121502
1734,NaN,126003
1718,1700,337504
2080,1040,135003
1651,1606,184001
1620,1281,150002
1640,1296,224005
2978,710,242002
1376,780,119503
1113,1143,148004
1200,1200,125001
1440,1440,118005
1336,637,108001
1346,560,112003
1340,NaN,120002
1368,1368,202667
1524,874,144004
1496,654,179670
1928,847,219501
2295,1095,268001
3140,1926,485005
1181,1138,137501
1479,1468,191001
1590,768,210005
936,936,129004
1040,1040,133703
1414,1375,178745
1790,873,193004
1869,1869,318062
1630,1630,213005
1339,1029,139002
1666,588,161004
1478,1478,157501
1539,650,157505
1080,1080,136003
1656,1656,135003
1040,1040,124002
1573,1573,227001
1320,1164,164502
1240,1240,194005
1194,655,159503
904,884,119004
1839,1477,257502
1567,1567,196005
1494,1482,215002
1577,972,140203
2013,1117,269791
833,833,117001
2380,1021,129005
1456,1273,215003
1734,912,159001
1152,1152,180501
2046,2046,372503
1152,NaN,82003
2183,1204,229004
1340,1340,181135
1567,1520,264564
816,816,124504
1252,504,127002
2340,1152,266504
1128,698,68404
1456,855,148502
1494,1479,217002
2008,896,225002
987,483,100003
1626,764,175504
2207,1947,180004
789,789,115001
1959,847,215004
1652,686,139003
928,928,112505
1118,648,116002
1632,800,173001
1969,808,190004
1895,712,194504
1165,1127,174903
1767,1064,239003
864,864,98005
904,683,61003
1040,NaN,90001
1125,1041,125003
1320,660,162001
1456,728,155836
2020,2006,402864
954,920,119751
1430,384,170004
1639,1064,115003
